1,724,Bary,Raubenheimer,1986-11-10,M
2,77,Mufi,Oliveti,1974-07-28,M
3,563,Carlee,Plevey,1976-09-18,M
4,995,Linn,McGhie,1994-04-27,M
5,964,Rosemary,Beckinsale,1986-12-02,F
6,809,Mano,McCloughlin,1993-03-26,M
7,174,Aimee,Jearum,1976-10-12,M
8,804,Marilyn,Attreed,1979-06-10,F
9,375,Alissa,Kynman,1973-06-10,F
10,305,Blakelee,Glenfield,1991-09-15,F
11,460,Egor,Coldtart,1985-01-03,M
12,905,Ashlen,Naish,1981-05-21,F
13,869,Sutherlan,Attenbarrow,1978-06-15,M
14,338,Daryl,Sephton,1997-07-09,M
15,103,Christophorus,Chesher,1992-08-23,F
16,533,Kalina,Bernat,1978-04-09,M
17,337,Randi,Lanchbury,1988-02-21,F
18,692,Saba,Gallatly,1971-05-18,M
19,666,Austina,Baraja,1992-05-24,F
20,249,Wadsworth,Bonavia,1997-06-30,M
21,716,Westbrook,Pepper,1976-09-18,F
22,629,Marcello,Adkins,1996-11-05,F
23,200,Hedi,Musselwhite,1987-03-19,F
24,227,Germaine,Gemnett,1989-08-19,F
25,55,Fletch,Dufer,1994-10-13,F
26,106,Germayne,Fishbourn,1978-12-21,F
27,101,Karrie,Temlett,1975-12-23,M
28,219,Laney,Spruce,1991-01-27,F
29,982,Nanon,Filinkov,1983-03-20,M
30,385,Reggie,Diss,1974-03-01,M
31,888,Winthrop,Belloch,1975-12-15,F
32,712,Melita,Kinde,1985-11-04,M
33,290,Cherise,Chaunce,1988-10-22,M
34,809,Duncan,Boddy,1980-07-06,M
35,115,Timothea,Vasentsov,2000-04-27,M
36,727,Bertie,Wetherell,1997-01-16,F
37,573,Emmerich,Rollinson,1973-03-07,M
38,704,Brittaney,De Cleyne,1971-10-30,F
39,69,Falito,Rickword,1977-05-17,F
40,260,Tandy,Banfield,1975-10-04,F
41,282,Amaleta,Weed,1982-08-17,M
42,457,Hermon,Spillett,1991-01-15,Other
43,998,Guglielma,Capineer,1983-06-25,M
44,465,Fonsie,Peye,1976-07-09,M
45,485,Suzanna,Reburn,1980-04-27,M
46,976,Arron,Clericoates,1971-03-31,M
47,107,Bessy,Stainland,2000-08-25,F
48,663,Armand,McAulay,1988-01-19,M
49,580,Clare,Fairbrass,1998-07-10,F
50,148,Melany,Doogan,1989-06-05,M
51,369,Cesya,Jennaway,1999-04-17,M
52,524,Merrielle,Yeoland,1997-07-29,F
53,307,Bjorn,Gook,1995-04-18,M
54,608,Aliza,Stansall,1991-08-16,M
55,11,Florry,Yurkov,2000-04-11,F
56,420,Em,Purkins,2000-08-13,F
57,607,Wilt,Sutor,1999-05-13,M
58,827,Rudolph,Claiton,1982-02-04,M
59,150,Luella,Lilleyman,1980-08-31,M
60,154,Christos,Fick,1988-12-17,M
61,487,Merrel,Janus,1973-12-13,M
62,355,Alys,Ludlam,1977-05-11,F
63,403,Valentin,Seys,1983-09-14,M
64,848,Dennie,Alleburton,1975-01-21,F
65,505,Justis,Eicke,1989-03-03,M
66,348,Ediva,Doblin,1996-08-14,M
67,349,Bailie,Tunn,1976-11-04,M
68,437,Lewiss,Raeside,1986-01-28,F
69,961,Mollee,Upcott,1980-01-27,M
70,372,Nicolas,Hatchman,1993-08-24,F
71,744,Baron,Lacelett,1994-04-04,F
72,994,Serena,Van Halen,1999-08-22,M
73,948,Drusie,Goodredge,1974-03-19,F
74,221,Robbyn,Lovelady,1998-06-08,M
75,710,Felice,Towhey,1998-11-29,Other
76,957,Nanette,Sclater,1977-01-23,M
77,171,Tuesday,Tamas,1983-01-24,F
78,190,Cary,Tuson,1971-03-29,M
79,768,Kari,Sember,1971-12-30,M
80,684,Micheal,Merwe,1994-02-25,F
81,430,Rafaelita,Leefe,1971-07-10,F
82,155,Joey,Kuhnwald,1973-06-11,M
83,265,Melva,O'Leahy,1983-12-18,F
84,463,Jasun,Jojic,1990-09-26,F
85,941,Odie,Handover,1995-06-03,F
86,525,Yancey,Hogsden,1979-12-05,F
87,146,Saidee,Dawidman,1985-03-16,M
88,959,Cara,Copnar,1972-02-15,F
89,486,Carlo,Jessopp,1998-08-02,M
90,934,Claus,Rickword,1997-07-18,F
91,10,Lotti,Feldberg,1997-11-11,F
92,66,Stoddard,Anyon,1988-05-08,F
93,520,Uri,Rodenburgh,1991-07-02,M
94,868,Darn,Gitting,1983-10-08,M
95,478,Salli,Kelwick,1998-04-22,M
96,753,Florentia,Errington,1995-06-18,M
97,92,Atalanta,Byas,1973-12-14,F
98,837,Karyn,Witherden,1973-07-18,M
99,493,Ade,Pithie,1980-07-09,M
100,423,Martha,Pellamonuten,1981-05-08,F
101,505,Nicolas,McNeillie,1978-02-06,M
102,207,Eleen,Tapson,1992-08-21,M
103,569,Dillon,Rue,1988-08-21,F
104,145,Panchito,MacUchadair,1997-09-29,M
105,533,Archy,Duckels,1993-05-18,M
106,954,Jo-ann,Greiser,1983-08-26,M
107,939,Anna-diana,De Cruce,1980-04-06,F
108,603,Jon,McLanachan,1988-02-15,F
109,229,Todd,Thurske,1971-12-04,F
110,106,Daren,Dugald,1990-03-23,F
111,535,Davine,Diviny,1997-12-17,F
112,46,Clemmie,Geeve,1975-03-19,F
113,624,Petronille,Mulloch,1971-04-04,M
114,400,Murdoch,Rudgard,1977-11-01,M
115,631,Tressa,Bason,1982-08-22,F
116,520,Gloriane,Parkes,1990-10-23,F
117,601,Ervin,Ludwig,1983-03-09,M
118,400,Talbot,Dukes,1973-02-25,M
119,885,Normy,Harbard,1981-04-26,F
120,580,Celinda,Bygraves,1984-04-22,F
